parameter,parameter_value,baseline_value,sweep_min,sweep_max,sweep_source,sweep_index,runtime_s,centroid_shift_px,visible_peak_count,total_peak_weight,centroid_x_px,centroid_y_px,radius_gyration_px,x_span_px,y_span_px,anisotropy_ratio
zb,-0.002,0.0,-0.002,0.002,bounds:absolute,0,3.2870226000013645,98.06075009724613,425.0,6.534412477876013e+19,1265.6578316049063,952.5867503305835,787.5361534166566,1963.1194496560684,1730.81535461777,1.602063041118415
zs,-0.002,0.0,-0.002,0.002,bounds:absolute,0,2.9823832000001858,194.81623483432796,425.0,6.534412477876013e+19,1025.198216013116,816.6104390433622,860.6879691448632,2145.8857353891863,1665.82237403781,2.7870709247169314
theta_offset,-0.5,0.0,-0.5,0.5,bounds:absolute,0,6.648519399997895,21.10005024736297,425.0,6.534412477876013e+19,1191.497336213677,868.1994834241282,786.6222743620359,2076.7932558308976,1653.1936172957078,2.139015007543618
psi_z,-2.0,0.0,-2.0,2.0,bounds:relative,0,4.895556400002533,84.08874776532022,425.0,6.534412477876013e+19,1128.9048989904404,879.2424199651664,817.8937982696242,2336.0640342937345,1650.1173184134886,2.042496096344728
chi,-1.0,0.0,-1.0,1.0,bounds:absolute,0,5.590879999999743,56.51501248246862,425.0,6.534412477876013e+19,1156.1541998252083,874.4989957604168,838.8633207092329,2805.6121521429386,1683.100407388602,1.7216915208974923
cor_angle,-2.0,0.0,-2.0,2.0,bounds:absolute,0,6.8513774999992165,40.69056571146586,425.0,6.534412477876013e+19,1172.020633111563,874.2821539449678,791.2727375796954,1935.4727794691391,1656.2654793509125,2.2476093449635712
gamma,-1.0010000000000003,0.9989999999999997,-1.0010000000000003,2.9989999999999997,bounds:relative,0,3.9305333999982395,53.22607417996012,425.0,6.534412477876013e+19,1264.0313926500964,883.5215121952982,810.6895077815348,2037.9880975505314,1655.7773130727087,1.724578639725948
Gamma,-5.579000000000001,-3.579,-5.579000000000001,-1.5790000000000002,bounds:relative,0,3.3100493000019924,27.544784007092847,425.0,6.534412477876013e+19,1185.8978169420218,877.3107114364269,796.8609820070131,2118.064354482456,1655.7972625632713,2.3754816657018427
corto_detector,0.024999999999999994,0.075,0.024999999999999994,0.125,bounds:relative_min0,0,4.057644699998491,442.44011438069407,425.0,6.534412477876013e+19,1349.1139714028302,1291.0035270776668,542.2702416367773,1770.1723059315516,1669.8360931880295,3.2097480453418137
center_x,1536.422,1596.422,1536.422,1656.422,center_prior_pm3sigma,0,3.55231559999811,58.07393254550799,425.0,6.534412477876013e+19,1177.2707647329014,824.0168473953269,779.5201589774043,2053.662151035417,1596.583534813662,2.233393781259501
center_y,1393.12,1453.12,1393.12,1513.12,center_prior_pm3sigma,0,2.7177334999978484,47.27301226757183,425.0,6.534412477876013e+19,1165.2321743591897,869.8567248476952,781.1476600467537,1993.662151035417,1656.5835348136625,1.9801378546764326
