two_theta_deg,none,<= 0.01,<= 0.02,<= 0.03,<= 0.04,<= 0.05,<= 0.06,<= 0.07,<= 0.08,<= 0.09,<= 0.10,<= 0.11,<= 0.12,<= 0.13,<= 0.14,<= 0.15,<= 0.16,<= 0.17,<= 0.18,<= 0.19
0.46400237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53538735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.60677233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.67815731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.74954229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.82092727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8923122499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9636972299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.03508221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.10646719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.17785217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
