two_theta_deg,none disabled,L<=0.01 disabled,L<=0.02 disabled,L<=0.03 disabled,L<=0.04 disabled,L<=0.05 disabled,L<=0.06 disabled,L<=0.07 disabled,L<=0.08 disabled,L<=0.09 disabled,L<=0.10 disabled,L<=0.11 disabled,L<=0.12 disabled,L<=0.13 disabled,L<=0.14 disabled,L<=0.15 disabled,L<=0.16 disabled,L<=0.17 disabled,L<=0.18 disabled,L<=0.19 disabled
0.5351696940940218,5458805329563601.0,474853095370600.06,474830650332584.06,336509667984193.3,336506779209574.06,308555688459298.75,308549752301873.1,168113857868590.22,168107022294046.25,54765521935918.766,54761629023939.266,7718404378417.693,7717689213249.271,92769092.30104522,0.0,0.0,0.0,0.0,0.0,0.0
0.6065256533065582,3.548691925633105e+17,7351511192651593.0,7350779796966259.0,2266371052112432.0,2266247990038019.5,757993205493891.0,757952290924867.4,266719070579686.2,266703536009890.38,83241482717468.16,83236046707389.78,18599189429792.008,18597229541096.348,285983674.30728143,0.0,0.0,0.0,0.0,0.0,0.0
0.6778816125190943,2.8093207051278787e+19,1.559362995140963e+17,1.5587166018782906e+17,8981342189472152.0,8980475278233101.0,2520688232935247.5,2520522282342196.5,693659025093587.4,693610046557305.1,162552288048299.03,162537978145462.22,23248587001288.895,23245438375543.266,70823623159.15382,70590600093.9271,778711.1269125217,0.0,0.0,0.0,0.0
0.7492375717316306,9.007369429884332e+19,1.9754284260544356e+18,1.9749445944868744e+18,7.957814776808502e+16,7.955933985179435e+16,5193615015460084.0,5192733551381993.0,1235553938763181.5,1235461912694199.2,278633923746988.16,278608896118185.47,42185857937263.01,42180907888557.95,2914263679397.3975,2913675074360.5312,22169963.98659399,0.0,0.0,0.0,0.0
0.8205935309441669,3.0715057811184755e+19,2.9387218709641334e+18,2.9384376732079247e+18,5.823429227826176e+17,5.822837596771411e+17,6.1242071660830664e+16,6.123223419218172e+16,4692823358870314.0,4692073528849110.0,547889465161325.4,547836737359937.25,88651087566356.48,88640757854154.9,6730537758905.495,6729151331566.819,10029443.433927303,0.0,0.0,0.0,0.0
0.8919494901567031,4.4000228047327785e+18,1.298659347068925e+18,1.2986008662970668e+18,6.034502803267455e+17,6.034266332404154e+17,2.4538952893016618e+17,2.4537608347839478e+17,5.308164542394797e+16,5.30763039347839e+16,4889844397591568.0,4889068397437927.0,358235756406883.5,358173219974736.25,48636748032935.31,48630619919191.4,3106468171139.746,3105860593368.8643,42376304.51184906,25944452.464425232,0.0
0.9633054493692395,3.456498691992819e+17,3.456498691992819e+17,3.4564812560179725e+17,2.970519173505537e+17,2.970490074979131e+17,2.0943495148745024e+17,2.0943004470202944e+17,1.1394454484270485e+17,1.139402149655217e+17,4.055982972817626e+16,4.05569628111291e+16,6052708684703017.0,6051873850938308.0,485440809816523.5,485356458739356.0,36661825893273.94,36657269335732.8,3258029270555.375,3257448190705.016,33310900.46937386
1.0346614085817756,1.110281860853901e+17,1.110281860853901e+17,1.110281860853901e+17,1.110281860853901e+17,1.110281860853901e+17,1.0833894730307624e+17,1.0833859479681493e+17,9.575766195752267e+16,9.575643024118373e+16,6.341770548694065e+16,6.341594892430073e+16,3.039234030984045e+16,3.039091184613072e+16,7740915651455385.0,7740212696481629.0,766801043371094.1,766683804705748.1,40611394056317.54,40602010685610.03,734599247.3937972
1.106017367794312,5.1213410699746664e+16,5.1213410699746664e+16,5.1213410699746664e+16,5.1213410699746664e+16,5.1213410699746664e+16,5.1213410699746664e+16,5.1213410699746664e+16,5.1213410699746664e+16,5.121337266753079e+16,4.881875485100942e+16,4.8818505107353624e+16,3.808526457508366e+16,3.808451728693986e+16,2.1117797380704308e+16,2.1117006636221068e+16,7642863445980699.0,7642338384815607.0,1087674417414455.6,1087511642474829.8,16207932275.767921
1.177373327006848,2.534199950765255e+16,2.534199950765255e+16,2.534199950765255e+16,2.534199950765255e+16,2.534199950765255e+16,2.534199950765255e+16,2.534199950765255e+16,2.534199950765255e+16,2.534199950765255e+16,2.534199950765255e+16,2.534199950765255e+16,2.4994024885704024e+16,2.499396750384256e+16,2.23678480504349e+16,2.2367558215276812e+16,1.4050903124827668e+16,1.4050426380409188e+16,5375756009756698.0,5375397742919755.0,165034948855.33182
1.2487292862193844,1.0115574864716024e+16,1.0115574864716024e+16,1.0115574864716024e+16,1.0115574864716024e+16,1.0115574864716024e+16,1.0115574864716024e+16,1.0115574864716024e+16,1.0115574864716024e+16,1.0115574864716024e+16,1.0115574864716024e+16,1.0115574864716024e+16,1.0115574864716024e+16,1.0115574864716024e+16,1.011557343542761e+16,1.0115564043651628e+16,9460078101351692.0,9459998065453606.0,5917883507956268.0,5917624663126349.0,261601798663.71115
1.3200852454319207,1197008380322707.8,1197008380322707.8,1197008380322707.8,1197008380322707.8,1197008380322707.8,1197008380322707.8,1197008380322707.8,1197008380322707.8,1197008380322707.8,1197008380322707.8,1197008380322707.8,1197008380322707.8,1197008380322707.8,1197008380322707.8,1197008380322707.8,1197008380322707.8,1197008380322707.8,1076376711537286.0,1076355738713827.9,119461959829.66339
1.3914412046444569,10691330999.397076,10691330999.397076,10691330999.397076,10691330999.397076,10691330999.397076,10691330999.397076,10691330999.397076,10691330999.397076,10691330999.397076,10691330999.397076,10691330999.397076,10691330999.397076,10691330999.397076,10691330999.397076,10691330999.397076,10691330999.397076,10691330999.397076,10691330999.397076,10691330999.397076,4054523346.633917
1.462797163856993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
